Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Sun Mar 15 13:06:29 GMT 2015,26000,11.9403,145596416,8589934592,8444338176
Sun Mar 15 13:06:31 GMT 2015,26000,13.6645975,144240640,8589934592,8445693952
Sun Mar 15 13:06:33 GMT 2015,26000,7.7210484,144875520,8589934592,8445059072
Sun Mar 15 13:06:35 GMT 2015,26000,17.676146,143724544,8589934592,8446210048
Sun Mar 15 13:06:37 GMT 2015,26000,16.997517,143147008,8589934592,8446787584
Sun Mar 15 13:06:39 GMT 2015,26000,7.18711,142675968,8589934592,8447258624
Sun Mar 15 13:06:41 GMT 2015,26000,4.6077194,144277504,8589934592,8445657088
Sun Mar 15 13:06:43 GMT 2015,26000,6.2034726,144588800,8589934592,8445345792
Sun Mar 15 13:06:45 GMT 2015,26000,4.601991,144908288,8589934592,8445026304
Sun Mar 15 13:06:47 GMT 2015,26000,5.093169,144003072,8589934592,8445931520
Sun Mar 15 13:06:49 GMT 2015,26000,4.844719,144367616,8589934592,8445566976
Sun Mar 15 13:06:51 GMT 2015,26000,5.4590583,142671872,8589934592,8447262720
Sun Mar 15 13:06:53 GMT 2015,26000,18.159204,133373952,8589934592,8456560640
Sun Mar 15 13:06:55 GMT 2015,26000,19.875776,134922240,8589934592,8455012352
Sun Mar 15 13:06:57 GMT 2015,26000,20.29888,134463488,8589934592,8455471104
Sun Mar 15 13:06:59 GMT 2015,26000,9.553349,135565312,8589934592,8454369280
Sun Mar 15 13:07:01 GMT 2015,26000,12.8109455,132771840,8589934592,8457162752
Sun Mar 15 13:07:03 GMT 2015,26000,7.855362,134733824,8589934592,8455200768
Sun Mar 15 13:07:05 GMT 2015,26000,13.043481,133955584,8589934592,8455979008
Sun Mar 15 13:07:07 GMT 2015,26000,5.97015,134279168,8589934592,8455655424
Sun Mar 15 13:07:09 GMT 2015,26000,8.706469,134586368,8589934592,8455348224
Sun Mar 15 13:07:11 GMT 2015,26000,9.565216,135053312,8589934592,8454881280
Sun Mar 15 13:07:13 GMT 2015,26000,9.079599,134352896,8589934592,8455581696
Sun Mar 15 13:07:15 GMT 2015,26000,11.538464,133783552,8589934592,8456151040
Sun Mar 15 13:07:17 GMT 2015,26000,10.186333,133120000,8589934592,8456814592
Sun Mar 15 13:07:19 GMT 2015,26000,11.442786,133746688,8589934592,8456187904
