Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 17:54:47 GMT 2015,26000,4.342431,2620084224,8589934592,5969850368
Thu Mar 05 17:54:49 GMT 2015,26000,3.7359893,2620506112,8589934592,5969428480
Thu Mar 05 17:54:51 GMT 2015,26000,3.850931,2619854848,8589934592,5970079744
Thu Mar 05 17:54:53 GMT 2015,26000,3.7313461,2620256256,8589934592,5969678336
Thu Mar 05 17:54:55 GMT 2015,26000,4.104477,2619629568,8589934592,5970305024
Thu Mar 05 17:54:57 GMT 2015,26000,4.2236032,2620076032,8589934592,5969858560
Thu Mar 05 17:54:59 GMT 2015,26000,3.8557231,2618396672,8589934592,5971537920
Thu Mar 05 17:55:01 GMT 2015,26000,4.968941,2616176640,8589934592,5973757952
Thu Mar 05 17:55:03 GMT 2015,26000,3.8605213,2615574528,8589934592,5974360064
Thu Mar 05 17:55:05 GMT 2015,26000,4.0942907,2614927360,8589934592,5975007232
Thu Mar 05 17:55:07 GMT 2015,26000,4.099381,2615312384,8589934592,5974622208
Thu Mar 05 17:55:09 GMT 2015,26000,3.4956276,2615713792,8589934592,5974220800
Thu Mar 05 17:55:11 GMT 2015,26000,4.3370485,2615296000,8589934592,5974638592
Thu Mar 05 17:55:13 GMT 2015,26000,3.9850533,2614804480,8589934592,5975130112
Thu Mar 05 17:55:15 GMT 2015,26000,4.099381,2613141504,8589934592,5976793088
Thu Mar 05 17:55:17 GMT 2015,26000,4.2236032,2612539392,8589934592,5977395200
Thu Mar 05 17:55:19 GMT 2015,26000,3.8605213,2629455872,8589934592,5960478720
Thu Mar 05 17:55:21 GMT 2015,26000,4.099381,2627964928,8589934592,5961969664
Thu Mar 05 17:55:23 GMT 2015,26000,3.9702237,2629246976,8589934592,5960687616
Thu Mar 05 17:55:25 GMT 2015,26000,4.5962753,2629001216,8589934592,5960933376
Thu Mar 05 17:55:27 GMT 2015,26000,3.9801002,2632126464,8589934592,5957808128
Thu Mar 05 17:55:29 GMT 2015,26000,3.8653374,2632654848,8589934592,5957279744
Thu Mar 05 17:55:31 GMT 2015,26000,4.342431,2632949760,8589934592,5956984832
Thu Mar 05 17:55:33 GMT 2015,26000,3.850931,2634395648,8589934592,5955538944
Thu Mar 05 17:55:35 GMT 2015,26000,4.099381,2632843264,8589934592,5957091328
Thu Mar 05 17:55:37 GMT 2015,26000,3.9801002,2633437184,8589934592,5956497408
Thu Mar 05 17:55:39 GMT 2015,26000,3.9702237,2632839168,8589934592,5957095424
Thu Mar 05 17:55:41 GMT 2015,26000,4.0942907,2633281536,8589934592,5956653056
Thu Mar 05 17:55:43 GMT 2015,26000,3.9801002,2633711616,8589934592,5956222976
Thu Mar 05 17:55:45 GMT 2015,26000,3.726709,2633216000,8589934592,5956718592
Thu Mar 05 17:55:47 GMT 2015,26000,3.975153,2633740288,8589934592,5956194304
Thu Mar 05 17:55:49 GMT 2015,26000,4.0942907,2633129984,8589934592,5956804608
Thu Mar 05 17:55:51 GMT 2015,26000,4.3532314,2633560064,8589934592,5956374528
Thu Mar 05 17:55:53 GMT 2015,26000,4.342431,2632933376,8589934592,5957001216
Thu Mar 05 17:55:55 GMT 2015,26000,3.7313461,2633494528,8589934592,5956440064
Thu Mar 05 17:55:57 GMT 2015,26000,4.228854,2633904128,8589934592,5956030464
Thu Mar 05 17:55:59 GMT 2015,26000,5.472636,2633277440,8589934592,5956657152
Thu Mar 05 17:56:01 GMT 2015,26000,4.7087965,2634219520,8589934592,5955715072
Thu Mar 05 17:56:03 GMT 2015,26000,3.7359893,2633383936,8589934592,5956550656
Thu Mar 05 17:56:05 GMT 2015,26000,4.207921,2632843264,8589934592,5957091328
Thu Mar 05 17:56:07 GMT 2015,26000,4.104477,2633363456,8589934592,5956571136
Thu Mar 05 17:56:09 GMT 2015,26000,3.7359893,2632724480,8589934592,5957210112
Thu Mar 05 17:56:11 GMT 2015,26000,4.342431,2632290304,8589934592,5957644288
Thu Mar 05 17:56:13 GMT 2015,26000,3.9801002,2632728576,8589934592,5957206016
Thu Mar 05 17:56:15 GMT 2015,26000,4.832715,2633289728,8589934592,5956644864
Thu Mar 05 17:56:17 GMT 2015,26000,3.8653374,2632708096,8589934592,5957226496
Thu Mar 05 17:56:19 GMT 2015,26000,4.347825,2634379264,8589934592,5955555328
Thu Mar 05 17:56:21 GMT 2015,26000,3.9801002,2632597504,8589934592,5957337088
Thu Mar 05 17:56:23 GMT 2015,26000,3.6204755,2633404416,8589934592,5956530176
